Date,Ticker,Adj_Close
2010-01-04,AAPL,6.418384075164795
2010-01-05,AAPL,6.429479122161865
2010-01-06,AAPL,6.327210426330566
2010-01-07,AAPL,6.31551456451416
2010-01-08,AAPL,6.357501983642578
2010-01-11,AAPL,6.301418304443359
2010-01-12,AAPL,6.229739665985107
2010-01-13,AAPL,6.317612648010254
2010-01-14,AAPL,6.281023025512695
2010-01-15,AAPL,6.176055908203125
2010-01-19,AAPL,6.44927453994751
2010-01-20,AAPL,6.350003242492676
2010-01-21,AAPL,6.240235328674316
2010-01-22,AAPL,5.930728435516357
2010-01-25,AAPL,6.090279579162598
2010-01-26,AAPL,6.176355838775635
2010-01-27,AAPL,6.234538555145264
2010-01-28,AAPL,5.976914405822754
2010-01-29,AAPL,5.760080337524414
2010-02-01,AAPL,5.840155601501465
2010-02-02,AAPL,5.8740458488464355
2010-02-03,AAPL,5.97511625289917
2010-02-04,AAPL,5.759779930114746
2010-02-05,AAPL,5.862049579620361
2010-02-08,AAPL,5.821861267089844
2010-02-09,AAPL,5.883942604064941
2010-02-10,AAPL,5.8518524169921875
2010-02-11,AAPL,5.9583210945129395
2010-02-12,AAPL,6.009605407714844
2010-02-16,AAPL,6.100179672241211
2010-02-17,AAPL,6.074685573577881
2010-02-18,AAPL,6.086081504821777
2010-02-19,AAPL,6.04829216003418
2010-02-22,AAPL,6.010804176330566
2010-02-23,AAPL,5.910035133361816
2010-02-24,AAPL,6.018003940582275
2010-02-25,AAPL,6.058190822601318
2010-02-26,AAPL,6.136767387390137
2010-03-01,AAPL,6.267828941345215
2010-03-02,AAPL,6.2636308670043945
2010-03-03,AAPL,6.278024673461914
2010-03-04,AAPL,6.319413185119629
2010-03-05,AAPL,6.566538333892822
2010-03-08,AAPL,6.570438861846924
2010-03-09,AAPL,6.688602924346924
2010-03-10,AAPL,6.7431840896606445
2010-03-11,AAPL,6.762979030609131
2010-03-12,AAPL,6.795970916748047
2010-03-15,AAPL,6.71319580078125
2010-03-16,AAPL,6.731489658355713
2010-03-17,AAPL,6.721592426300049
2010-03-18,AAPL,6.737486362457275
2010-03-19,AAPL,6.66550874710083
2010-03-22,AAPL,6.740487575531006
2010-03-23,AAPL,6.848753929138184
2010-03-24,AAPL,6.879045486450195
2010-03-25,AAPL,6.797469615936279
2010-03-26,AAPL,6.92493200302124
2010-03-29,AAPL,6.96961784362793
2010-03-30,AAPL,7.073388576507568
2010-03-31,AAPL,7.047895908355713
2010-04-01,AAPL,7.076985836029053
2010-04-05,AAPL,7.152565002441406
2010-04-06,AAPL,7.184056758880615
2010-04-07,AAPL,7.215843200683594
2010-04-08,AAPL,7.196351528167725
2010-04-09,AAPL,7.251534938812256
2010-04-12,AAPL,7.266529083251953
2010-04-13,AAPL,7.270729064941406
2010-04-14,AAPL,7.36850118637085
2010-04-15,AAPL,7.465371131896973
2010-04-16,AAPL,7.419785499572754
2010-04-19,AAPL,7.409886360168457
2010-04-20,AAPL,7.33551025390625
2010-04-21,AAPL,7.7742791175842285
2010-04-22,AAPL,7.991709232330322
2010-04-23,AAPL,8.122474670410156
2010-04-26,AAPL,8.082586288452148
2010-04-27,AAPL,7.858856201171875
2010-04-28,AAPL,7.845655918121338
2010-04-29,AAPL,8.056794166564941
2010-04-30,AAPL,7.8303608894348145
2010-05-03,AAPL,7.98811149597168
2010-05-04,AAPL,7.758081912994385
2010-05-05,AAPL,7.677407741546631
2010-05-06,AAPL,7.385295867919922
2010-05-07,AAPL,7.073688507080078
2010-05-10,AAPL,7.617423057556152
2010-05-11,AAPL,7.693304538726807
2010-05-12,AAPL,7.860354423522949
2010-05-13,AAPL,7.748485088348389
2010-05-14,AAPL,7.6123223304748535
2010-05-17,AAPL,7.624321937561035
2010-05-18,AAPL,7.568539142608643
2010-05-19,AAPL,7.447976112365723
2010-05-20,AAPL,7.130671977996826
2010-05-21,AAPL,7.267431259155273
2010-05-24,AAPL,7.400588512420654
2010-05-25,AAPL,7.354404926300049
2010-05-26,AAPL,7.3211140632629395
2010-05-27,AAPL,7.5982279777526855
2010-05-28,AAPL,7.704095840454102
2010-06-01,AAPL,7.822565078735352
2010-06-02,AAPL,7.9161376953125
2010-06-03,AAPL,7.89124059677124
2010-06-04,AAPL,7.676506519317627
2010-06-07,AAPL,7.5259528160095215
2010-06-08,AAPL,7.477666854858398
2010-06-09,AAPL,7.293820858001709
2010-06-10,AAPL,7.513053894042969
2010-06-11,AAPL,7.60302734375
2010-06-14,AAPL,7.626124382019043
2010-06-15,AAPL,7.788371562957764
2010-06-16,AAPL,8.015105247497559
2010-06-17,AAPL,8.153663635253906
2010-06-18,AAPL,8.219642639160156
2010-06-21,AAPL,8.102682113647461
2010-06-22,AAPL,8.213047981262207
2010-06-23,AAPL,8.126672744750977
2010-06-24,AAPL,8.06758975982666
2010-06-25,AAPL,7.998610019683838
2010-06-28,AAPL,8.046600341796875
2010-06-29,AAPL,7.682803153991699
2010-06-30,AAPL,7.5436482429504395
2010-07-01,AAPL,7.452172756195068
2010-07-02,AAPL,7.405989170074463
